case_note_id,alert_id,note_timestamp,note_text,typology_label
NOTE000042,ALERT000042,2025-07-27T01:29:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000043,ALERT000043,2025-08-15T15:41:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000044,ALERT000044,2025-03-28T22:10:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000045,ALERT000045,2025-07-16T22:51:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000046,ALERT000046,2025-10-09T05:37:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000047,ALERT000047,2025-11-14T16:08:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000048,ALERT000048,2025-01-15T17:22:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000049,ALERT000049,2025-01-14T18:06:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000050,ALERT000050,2025-06-13T02:45:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000051,ALERT000051,2025-10-24T04:11:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000052,ALERT000052,2025-09-23T08:55:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000053,ALERT000053,2025-08-29T13:10:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000054,ALERT000054,2025-01-25T03:53:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000055,ALERT000055,2025-05-27T11:45:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000056,ALERT000056,2025-09-30T08:35:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000057,ALERT000057,2025-01-19T07:32:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000058,ALERT000058,2025-08-11T02:10:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000059,ALERT000059,2025-09-11T16:18:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000060,ALERT000060,2025-12-08T12:53:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000061,ALERT000061,2025-06-23T07:42:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000062,ALERT000062,2025-02-22T09:01:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000063,ALERT000063,2025-11-25T05:37:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000064,ALERT000064,2025-04-25T06:39:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000065,ALERT000065,2025-03-02T23:02:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000066,ALERT000066,2025-03-26T15:52:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000067,ALERT000067,2025-06-03T21:13:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000068,ALERT000068,2025-12-03T05:55:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000069,ALERT000069,2025-04-16T21:01:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000070,ALERT000070,2025-06-22T01:00:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000071,ALERT000071,2025-04-01T20:02:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000072,ALERT000072,2025-12-18T19:47:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000073,ALERT000073,2025-05-09T08:58:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000074,ALERT000074,2025-07-28T09:46:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000075,ALERT000075,2025-04-19T02:16:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000076,ALERT000076,2025-03-03T02:16:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000077,ALERT000077,2025-03-01T21:17:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000078,ALERT000078,2025-03-09T14:41:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000079,ALERT000079,2025-01-28T18:11:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000080,ALERT000080,2025-07-28T12:54:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000081,ALERT000081,2025-04-04T13:28:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000082,ALERT000082,2025-12-18T14:45:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000083,ALERT000083,2025-09-18T21:01:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000084,ALERT000084,2025-04-29T22:36:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000085,ALERT000085,2025-07-14T10:46:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000086,ALERT000086,2025-09-06T11:18:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000087,ALERT000087,2025-07-24T11:38:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000088,ALERT000088,2025-08-30T07:46:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000089,ALERT000089,2025-09-23T09:52:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000090,ALERT000090,2025-12-06T10:42:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000091,ALERT000091,2025-07-08T13:12:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000092,ALERT000092,2025-05-29T19:48:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000093,ALERT000093,2025-09-21T09:58:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000094,ALERT000094,2025-01-14T11:20:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000095,ALERT000095,2025-06-21T22:15:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000096,ALERT000096,2025-06-13T20:06:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000097,ALERT000097,2025-01-06T10:53:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000098,ALERT000098,2025-08-29T18:17:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000099,ALERT000099,2025-11-14T02:23:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000100,ALERT000100,2025-06-23T16:42:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000101,ALERT000101,2025-06-15T05:35:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000102,ALERT000102,2025-04-11T09:02:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000103,ALERT000103,2025-01-26T10:48:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000104,ALERT000104,2025-06-12T00:53:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000105,ALERT000105,2025-05-21T00:33:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000106,ALERT000106,2025-06-23T21:34:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000107,ALERT000107,2025-04-02T04:36:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000108,ALERT000108,2025-12-15T21:37:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000109,ALERT000109,2025-03-16T15:36:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000110,ALERT000110,2025-04-27T00:51:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000111,ALERT000111,2025-03-22T19:59:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000112,ALERT000112,2025-05-06T22:54:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000113,ALERT000113,2025-11-04T02:41:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000114,ALERT000114,2025-01-27T15:03:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000115,ALERT000115,2025-12-15T10:48:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000116,ALERT000116,2025-07-13T11:20:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000117,ALERT000117,2025-08-04T03:43:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000118,ALERT000118,2025-04-29T13:12:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000119,ALERT000119,2025-09-05T00:26:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000120,ALERT000120,2025-12-30T18:46:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000121,ALERT000121,2025-03-19T06:03:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000122,ALERT000122,2025-07-10T05:05:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000123,ALERT000123,2025-08-01T10:34:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000124,ALERT000124,2025-10-10T19:04:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000125,ALERT000125,2025-09-14T05:35:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000126,ALERT000126,2025-08-21T20:20:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000127,ALERT000127,2025-10-10T18:50:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000128,ALERT000128,2025-07-04T12:44:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000129,ALERT000129,2025-07-11T13:37:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000130,ALERT000130,2025-06-26T14:03:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000131,ALERT000131,2025-03-18T05:54:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000132,ALERT000132,2025-02-16T03:29:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000133,ALERT000133,2025-11-10T00:03:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000134,ALERT000134,2025-02-13T10:52:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000135,ALERT000135,2025-06-26T13:44:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000136,ALERT000136,2025-12-21T18:54:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000137,ALERT000137,2025-07-29T03:56:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000138,ALERT000138,2025-08-27T19:07:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000139,ALERT000139,2025-12-21T13:24:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000140,ALERT000140,2025-01-15T22:28:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000141,ALERT000141,2025-11-11T01:56:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000142,ALERT000142,2025-06-09T06:22:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000143,ALERT000143,2025-10-24T04:38:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000144,ALERT000144,2025-02-10T05:37:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000145,ALERT000145,2025-12-22T01:26:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000146,ALERT000146,2025-01-18T14:43:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000147,ALERT000147,2025-05-16T10:16:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000148,ALERT000148,2025-12-06T22:12:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000149,ALERT000149,2025-11-07T17:50:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000150,ALERT000150,2025-10-29T20:35:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000151,ALERT000151,2025-02-15T17:05:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000152,ALERT000152,2025-07-17T16:57:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000153,ALERT000153,2025-04-08T18:51:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000154,ALERT000154,2025-10-10T00:15:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000155,ALERT000155,2025-06-04T04:07:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000156,ALERT000156,2025-05-15T11:22:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000157,ALERT000157,2025-03-11T05:23:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000158,ALERT000158,2025-06-16T04:25:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000159,ALERT000159,2025-07-07T02:45:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000160,ALERT000160,2025-07-27T07:29:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000161,ALERT000161,2025-02-12T19:19:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000162,ALERT000162,2025-02-27T20:34:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000163,ALERT000163,2025-07-14T14:28:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000164,ALERT000164,2025-04-12T10:02:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000165,ALERT000165,2025-04-30T19:06:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000166,ALERT000166,2025-01-22T20:38:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000167,ALERT000167,2025-04-27T14:21:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000168,ALERT000168,2025-08-01T04:41:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000169,ALERT000169,2025-12-18T06:44:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000170,ALERT000170,2025-12-16T01:16:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000171,ALERT000171,2025-06-23T00:05:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000172,ALERT000172,2025-04-23T23:31:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000173,ALERT000173,2025-08-03T01:43:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000174,ALERT000174,2025-07-29T05:30:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000175,ALERT000175,2025-11-21T04:36:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000176,ALERT000176,2025-04-07T21:22:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000177,ALERT000177,2025-03-16T15:23:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000178,ALERT000178,2025-07-12T02:22:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000179,ALERT000179,2025-09-02T10:45:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000180,ALERT000180,2025-06-02T09:48:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000181,ALERT000181,2025-08-10T11:29:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000182,ALERT000182,2025-10-01T15:39:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000183,ALERT000183,2025-10-18T05:43:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000184,ALERT000184,2025-09-15T14:57:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000185,ALERT000185,2025-04-04T19:49:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000186,ALERT000186,2025-12-20T06:58:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000187,ALERT000187,2025-08-20T00:50:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000188,ALERT000188,2025-11-16T17:57:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000189,ALERT000189,2025-01-04T06:26:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000190,ALERT000190,2025-02-22T11:28:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000191,ALERT000191,2025-03-23T22:23:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000192,ALERT000192,2025-11-02T14:28:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000193,ALERT000193,2025-01-27T15:03:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000194,ALERT000194,2025-05-26T02:34:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000195,ALERT000195,2025-12-01T00:34:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000196,ALERT000196,2025-11-12T08:23:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000197,ALERT000197,2025-12-22T06:59:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000198,ALERT000198,2025-09-16T20:14:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000199,ALERT000199,2025-09-03T05:31:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000200,ALERT000200,2025-02-10T19:23:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000201,ALERT000201,2025-11-24T05:33:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000202,ALERT000202,2025-07-27T07:14:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000203,ALERT000203,2025-09-02T15:28:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000204,ALERT000204,2025-01-25T03:54:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000205,ALERT000205,2025-06-02T12:53:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000206,ALERT000206,2025-05-16T01:36:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000207,ALERT000207,2025-12-30T17:49:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000208,ALERT000208,2025-11-20T02:49:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000209,ALERT000209,2025-01-10T00:18:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000210,ALERT000210,2025-11-06T18:09:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000211,ALERT000211,2025-01-16T04:59:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000212,ALERT000212,2025-11-17T23:17:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000213,ALERT000213,2025-09-25T08:30:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000214,ALERT000214,2025-07-08T23:46:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000215,ALERT000215,2025-08-12T04:52:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000216,ALERT000216,2025-01-05T11:03:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000217,ALERT000217,2025-04-09T14:27:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000218,ALERT000218,2025-07-16T23:51:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000219,ALERT000219,2025-09-06T18:52:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000220,ALERT000220,2025-06-13T17:26:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000221,ALERT000221,2025-10-08T18:45:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000222,ALERT000222,2025-05-25T19:42:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000223,ALERT000223,2025-09-06T22:17:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000224,ALERT000224,2025-08-12T13:16:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000225,ALERT000225,2025-11-13T00:06:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000226,ALERT000226,2025-12-04T17:59:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000227,ALERT000227,2025-07-10T05:26:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000228,ALERT000228,2025-10-12T04:32:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
