transaction_id,account_id,customer_id,is_suspicious,suspicious_pattern,anomaly_score,is_anomaly,anomaly_rank,anomaly_band,top_anomaly_reasons,fraud_probability,fraud_prediction,aml_risk_score,aml_risk_band,aml_risk_reasons,priority_score,priority_band,recommended_action
TXN0002227,ACCT000140,CUST000462,True,round_number_payments,93.7466,True,11,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002209,ACCT000693,CUST000133,True,round_number_payments,93.6632,True,12,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000421,ACCT000430,CUST000129,True,rapid_movement_of_funds,92.7005,True,13,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004972,ACCT000458,CUST000359,True,round_number_payments,92.5914,True,14,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004698,ACCT000358,CUST000183,True,round_number_payments,92.3517,True,15,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000301,ACCT000027,CUST000294,True,rapid_movement_of_funds,91.6146,True,16,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003538,ACCT000694,CUST000042,True,round_number_payments,91.3826,True,17,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001296,ACCT000180,CUST000023,True,round_number_payments,90.8212,True,18,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001698,ACCT000238,CUST000466,True,round_number_payments,90.7562,True,19,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003347,ACCT000550,CUST000158,True,round_number_payments,90.4775,True,20,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000492,ACCT000564,CUST000033,True,rapid_movement_of_funds,90.377,True,21,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001554,ACCT000234,CUST000206,True,round_number_payments,90.1304,True,22,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,77,High,Structuring pattern indicator; Account takeover style activity; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001308,ACCT000062,CUST000059,True,rapid_movement_of_funds,89.7649,True,23,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002084,ACCT000601,CUST000104,True,round_number_payments,89.3272,True,24,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004009,ACCT000378,CUST000123,True,rapid_movement_of_funds,88.9866,True,25,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001481,ACCT000640,CUST000225,True,round_number_payments,88.7949,True,26,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004428,ACCT000183,CUST000191,True,rapid_movement_of_funds,88.3634,True,27,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001964,ACCT000372,CUST000236,True,round_number_payments,88.3005,True,28,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003048,ACCT000254,CUST000138,True,rapid_movement_of_funds,88.1325,True,29,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT,,,33,Low,Rapid movement of funds; High-value transaction; Synthetic suspicious helper label present,,,
TXN0002128,ACCT000564,CUST000033,True,round_number_payments,88.0129,True,30,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003598,ACCT000454,CUST000327,True,rapid_movement_of_funds,87.9482,True,31,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002905,ACCT000612,CUST000248,True,rapid_movement_of_funds,87.9143,True,32,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001547,ACCT000137,CUST000128,True,round_number_payments,87.6402,True,33,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.999792358611038,1.0,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,80.74,High,Investigator review
TXN0002341,ACCT000569,CUST000075,True,round_number_payments,87.1279,True,34,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999998852654838,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0002594,ACCT000272,CUST000111,True,round_number_payments,86.9245,True,35,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000707,ACCT000519,CUST000380,True,rapid_movement_of_funds,86.9178,True,36,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000785,ACCT000546,CUST000238,True,round_number_payments,86.861,True,37,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002399,ACCT000264,CUST000047,True,rapid_movement_of_funds,86.7832,True,38,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000135,ACCT000066,CUST000319,True,round_number_payments,86.7568,True,39,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.999979875717412,1.0,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,80.75,High,Investigator review
TXN0001367,ACCT000652,CUST000454,True,rapid_movement_of_funds,86.6939,True,40,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001120,ACCT000076,CUST000270,True,round_number_payments,86.6665,True,41,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002530,ACCT000228,CUST000053,True,rapid_movement_of_funds,86.3565,True,42,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000895,ACCT000598,CUST000460,True,shared_device_behaviour,85.7641,True,43,Critical,HIGH_RISK_JURISDICTION; ACCOUNT_TAKEOVER_SIGNAL,,,51,Medium,High-risk jurisdiction exposure; Account takeover style activity; Synthetic suspicious helper label present,,,
TXN0003740,ACCT000625,CUST000070,True,rapid_movement_of_funds,85.7144,True,44,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001184,ACCT000319,CUST000197,True,round_number_payments,85.6958,True,45,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003228,ACCT000665,CUST000125,True,round_number_payments,85.6695,True,46,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999965332178996,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0003308,ACCT000495,CUST000067,True,rapid_movement_of_funds,85.6226,True,47,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,1.0,1.0,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,67.55,Medium,Queue for monitoring
TXN0001552,ACCT000048,CUST000025,True,round_number_payments,85.3704,True,48,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.99999981311233,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0003799,ACCT000645,CUST000035,True,rapid_movement_of_funds,85.2698,True,49,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,0.9999999999823116,1.0,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,67.55,Medium,Queue for monitoring
TXN0003354,ACCT000458,CUST000359,True,round_number_payments,85.2561,True,50,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001850,ACCT000033,CUST000253,True,rapid_movement_of_funds,85.2284,True,51,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,0.9999999999999988,1.0,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,79.65,High,Investigator review
TXN0004507,ACCT000023,CUST000376,True,rapid_movement_of_funds,85.2094,True,52,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004048,ACCT000450,CUST000253,True,rapid_movement_of_funds,85.1828,True,53,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,1.0,1.0,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,67.55,Medium,Queue for monitoring
TXN0001061,ACCT000646,CUST000408,True,round_number_payments,85.1013,True,54,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004650,ACCT000654,CUST000169,True,round_number_payments,84.9116,True,55,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002015,ACCT000073,CUST000120,True,rapid_movement_of_funds,84.8416,True,56,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003930,ACCT000321,CUST000307,True,rapid_movement_of_funds,84.7898,True,57,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,0.9999999999786516,1.0,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,67.55,Medium,Queue for monitoring
TXN0001804,ACCT000548,CUST000286,True,rapid_movement_of_funds,84.6778,True,58,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001214,ACCT000474,CUST000031,True,round_number_payments,84.654,True,59,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000310,ACCT000647,CUST000270,True,rapid_movement_of_funds,84.4659,True,60,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000832,ACCT000065,CUST000047,True,round_number_payments,84.377,True,61,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001755,ACCT000117,CUST000399,True,round_number_payments,84.1057,True,62,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002718,ACCT000084,CUST000038,True,round_number_payments,84.0995,True,63,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999999986566808,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0004298,ACCT000184,CUST000217,True,rapid_movement_of_funds,84.0699,True,64,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000564,ACCT000481,CUST000303,True,round_number_payments,83.856,True,65,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001099,ACCT000219,CUST000004,True,round_number_payments,83.8366,True,66,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999931637906588,1.0,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,80.75,High,Investigator review
TXN0004114,ACCT000027,CUST000294,True,unusual_amount_spike,83.7723,True,67,High,HIGH_VALUE_TRANSACTION; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,0.9992748084811608,1.0,23,Low,High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,57.62,Medium,Queue for monitoring
TXN0004443,ACCT000525,CUST000245,True,rapid_movement_of_funds,83.4772,True,68,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003427,ACCT000102,CUST000500,True,round_number_payments,83.4548,True,69,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN,,,45,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Synthetic suspicious helper label present,,,
TXN0004515,ACCT000141,CUST000377,True,rapid_movement_of_funds,83.4347,True,70,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT,,,33,Low,Rapid movement of funds; High-value transaction; Synthetic suspicious helper label present,,,
TXN0004563,ACCT000285,CUST000285,True,round_number_payments,83.419,True,71,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000223,ACCT000282,CUST000074,True,rapid_movement_of_funds,83.3764,True,72,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003750,ACCT000216,CUST000216,True,rapid_movement_of_funds,83.3399,True,73,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,0.9999999999999998,1.0,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,67.55,Medium,Queue for monitoring
TXN0000992,ACCT000596,CUST000322,True,round_number_payments,83.2319,True,74,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN,,,45,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Synthetic suspicious helper label present,,,
TXN0003155,ACCT000389,CUST000332,True,rapid_movement_of_funds,83.155,True,75,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000509,ACCT000283,CUST000442,True,round_number_payments,82.9844,True,76,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999969827453334,1.0,43,Medium,Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,68.65,Medium,Queue for monitoring
TXN0000604,ACCT000067,CUST000111,True,round_number_payments,82.9287,True,77,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004946,ACCT000626,CUST000123,True,rapid_movement_of_funds,82.8115,True,78,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003572,ACCT000231,CUST000418,True,rapid_movement_of_funds,82.7874,True,79,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003777,ACCT000093,CUST000264,True,round_number_payments,82.7788,True,80,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003755,ACCT000025,CUST000307,True,rapid_movement_of_funds,82.7688,True,81,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000942,ACCT000224,CUST000263,True,round_number_payments,82.7502,True,82,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999998923101452,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0001537,ACCT000113,CUST000320,True,rapid_movement_of_funds,82.6162,True,83,High,HIGH_VALUE_TRANSACTION; NEW_BENEFICIARY_HIGH_VALUE; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,57,Medium,Rapid movement of funds; New beneficiary high-value payment; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
