case_note_id,alert_id,note_text,predicted_typology,typology_confidence,typology_reasons,original_typology_label
NOTE000012,ALERT000012,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000013,ALERT000013,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000014,ALERT000014,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000015,ALERT000015,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000016,ALERT000016,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000017,ALERT000017,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000018,ALERT000018,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000019,ALERT000019,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000020,ALERT000020,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000021,ALERT000021,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000022,ALERT000022,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000023,ALERT000023,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000024,ALERT000024,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000025,ALERT000025,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000026,ALERT000026,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000027,ALERT000027,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000028,ALERT000028,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000029,ALERT000029,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000030,ALERT000030,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000031,ALERT000031,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000032,ALERT000032,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000033,ALERT000033,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000034,ALERT000034,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000035,ALERT000035,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000036,ALERT000036,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000037,ALERT000037,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000038,ALERT000038,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000039,ALERT000039,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000040,ALERT000040,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000041,ALERT000041,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000042,ALERT000042,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000043,ALERT000043,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000044,ALERT000044,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000045,ALERT000045,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000046,ALERT000046,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000047,ALERT000047,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000048,ALERT000048,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000049,ALERT000049,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000050,ALERT000050,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000051,ALERT000051,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000052,ALERT000052,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000053,ALERT000053,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000054,ALERT000054,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000055,ALERT000055,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000056,ALERT000056,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000057,ALERT000057,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000058,ALERT000058,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000059,ALERT000059,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000060,ALERT000060,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000061,ALERT000061,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000062,ALERT000062,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000063,ALERT000063,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000064,ALERT000064,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000065,ALERT000065,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000066,ALERT000066,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000067,ALERT000067,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000068,ALERT000068,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000069,ALERT000069,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000070,ALERT000070,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000071,ALERT000071,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000072,ALERT000072,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000073,ALERT000073,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000074,ALERT000074,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000075,ALERT000075,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000076,ALERT000076,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000077,ALERT000077,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000078,ALERT000078,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000079,ALERT000079,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000080,ALERT000080,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000081,ALERT000081,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000082,ALERT000082,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000083,ALERT000083,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000084,ALERT000084,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000085,ALERT000085,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000086,ALERT000086,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000087,ALERT000087,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000088,ALERT000088,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000089,ALERT000089,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000090,ALERT000090,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000091,ALERT000091,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000092,ALERT000092,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000093,ALERT000093,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000094,ALERT000094,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000095,ALERT000095,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000096,ALERT000096,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000097,ALERT000097,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000098,ALERT000098,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000099,ALERT000099,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000100,ALERT000100,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000101,ALERT000101,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000102,ALERT000102,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000103,ALERT000103,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000104,ALERT000104,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000105,ALERT000105,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000106,ALERT000106,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000107,ALERT000107,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000108,ALERT000108,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000109,ALERT000109,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000110,ALERT000110,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000111,ALERT000111,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000112,ALERT000112,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000113,ALERT000113,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000114,ALERT000114,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000115,ALERT000115,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000116,ALERT000116,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000117,ALERT000117,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000118,ALERT000118,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000119,ALERT000119,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000120,ALERT000120,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000121,ALERT000121,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000122,ALERT000122,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000123,ALERT000123,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000124,ALERT000124,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000125,ALERT000125,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000126,ALERT000126,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000127,ALERT000127,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000128,ALERT000128,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000129,ALERT000129,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000130,ALERT000130,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000131,ALERT000131,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000132,ALERT000132,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000133,ALERT000133,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000134,ALERT000134,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000135,ALERT000135,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000136,ALERT000136,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000137,ALERT000137,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000138,ALERT000138,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000139,ALERT000139,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000140,ALERT000140,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000141,ALERT000141,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000142,ALERT000142,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000143,ALERT000143,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000144,ALERT000144,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000145,ALERT000145,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000146,ALERT000146,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000147,ALERT000147,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000148,ALERT000148,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000149,ALERT000149,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000150,ALERT000150,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000151,ALERT000151,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000152,ALERT000152,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000153,ALERT000153,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000154,ALERT000154,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000155,ALERT000155,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000156,ALERT000156,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000157,ALERT000157,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000158,ALERT000158,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000159,ALERT000159,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000160,ALERT000160,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000161,ALERT000161,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
NOTE000162,ALERT000162,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000163,ALERT000163,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000164,ALERT000164,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000165,ALERT000165,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000166,ALERT000166,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000167,ALERT000167,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000168,ALERT000168,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000169,ALERT000169,Synthetic review notes repeated round-number payments requiring review.,structuring,0.9,"KEYWORD:round-number, KEYWORD:repeated round",round_number_payments
NOTE000170,ALERT000170,Synthetic review notes a material increase against expected account activity.,unknown,0.75,ORIGINAL_LABEL_HINT:unusual_amount_spike,unusual_amount_spike
